Iteration,numThreads,range,size,minTxOps,minNonTxOps,ReadOnlyFrac,throughputOps,throughputTxs,aborts,elapsedTime,numReadOps,numWriteOps,operations,,,,
0,2,2048,1024,10,10,0.5,71000,250,2,0.008,558,10,568,,,,
1,2,2048,1024,10,10,0.5,264000,2000,2,0.001,254,10,264,,numThreads,throughputOps,throughputTxs
2,2,2048,1024,10,10,0.5,1321000,2000,3,0.001,1311,10,1321,,2,4.88839E+18,4.88839E+18
3,2,2048,1024,10,10,0.5,20000,2000,2,0.001,0,20,20,,4,4.51945E+18,4.51945E+18
4,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,0,30,30,,8,8.30103E+17,8.30103E+17
5,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,1033,10,1043,,16,4393649.87,8566.81
6,2,2048,1024,10,10,0.5,281000,2000,2,0.001,271,10,281,,32,4860814.3,8739.2
7,2,2048,1024,10,10,0.5,1151000,2000,3,0.001,1141,10,1151,,64,5772641.64,9620.25
8,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,0,20,20,,128,6854844.38,9394.31
9,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,1426,10,1436,,,,
10,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,869,10,879,,,,
11,2,2048,1024,10,10,0.5,1745000,2000,1,0.001,1745,0,1745,,,,
12,2,2048,1024,10,10,0.5,20000,2000,1,0.001,0,20,20,,,,
13,2,2048,1024,10,10,0.5,430000,2000,3,0.001,420,10,430,,,,
14,2,2048,1024,10,10,0.5,765000,2000,2,0.001,755,10,765,,,,
15,2,2048,1024,10,10,0.5,794000,2000,2,0.001,784,10,794,,,,
16,2,2048,1024,10,10,0.5,1322000,2000,2,0.001,1312,10,1322,,,,
17,2,2048,1024,10,10,0.5,734000,2000,1,0.001,734,0,734,,,,
18,2,2048,1024,10,10,0.5,1108000,2000,3,0.001,1098,10,1108,,,,
19,2,2048,1024,10,10,0.5,578000,2000,1,0.001,578,0,578,,,,
20,2,2048,1024,10,10,0.5,1111000,2000,1,0.001,1111,0,1111,,,,
21,2,2048,1024,10,10,0.5,960000,2000,2,0.001,960,0,960,,,,
22,2,2048,1024,10,10,0.5,57000,1000,1,0.002,104,10,114,,,,
23,2,2048,1024,10,10,0.5,20000,2000,1,0.001,0,20,20,,,,
24,2,2048,1024,10,10,0.5,467000,2000,1,0.001,457,10,467,,,,
25,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,125,10,135,,,,
26,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,491,0,491,,,,
27,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,943,10,953,,,,
28,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,52,10,62,,,,
29,2,2048,1024,10,10,0.5,20000,2000,2,0.001,0,20,20,,,,
30,2,2048,1024,10,10,0.5,20000,2000,2,0.001,0,20,20,,,,
31,2,2048,1024,10,10,0.5,1327000,2000,1,0.001,1327,0,1327,,,,
32,2,2048,1024,10,10,0.5,762000,2000,2,0.001,752,10,762,,,,
33,2,2048,1024,10,10,0.5,1156000,2000,2,0.001,1146,10,1156,,,,
34,2,2048,1024,10,10,0.5,1477000,2000,2,0.001,1477,0,1477,,,,
35,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,0,20,20,,,,
36,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,786,10,796,,,,
37,2,2048,1024,10,10,0.5,1607000,2000,1,0.001,1607,0,1607,,,,
38,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,627,0,627,,,,
39,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,0,20,20,,,,
40,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,1425,10,1435,,,,
41,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,1300,10,1310,,,,
42,2,2048,1024,10,10,0.5,926000,2000,1,0.001,926,0,926,,,,
43,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,1161,0,1161,,,,
44,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,5,0,532,10,542,,,,
45,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,0,20,20,,,,
46,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,864,10,874,,,,
47,2,2048,1024,10,10,0.5,864000,2000,1,0.001,854,10,864,,,,
48,2,2048,1024,10,10,0.5,844000,2000,1,0.001,844,0,844,,,,
49,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,442,0,442,,,,
50,2,2048,1024,10,10,0.5,1045000,2000,2,0.001,1035,10,1045,,,,
51,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,528,10,538,,,,
52,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,33,10,43,,,,
53,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,0,20,20,,,,
54,2,2048,1024,10,10,0.5,5000,500,1,0.004,0,20,20,,,,
55,2,2048,1024,10,10,0.5,1091000,2000,1,0.001,1091,0,1091,,,,
56,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,1266,10,1276,,,,
57,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,1783,0,1783,,,,
58,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,0,20,20,,,,
59,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,610,0,610,,,,
60,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,345,0,345,,,,
61,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,3,0,431,10,441,,,,
62,2,2048,1024,10,10,0.5,20000,2000,1,0.001,0,20,20,,,,
63,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,0,20,20,,,,
64,2,2048,1024,10,10,0.5,1117000,2000,3,0.001,1107,10,1117,,,,
65,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,1439,0,1439,,,,
66,2,2048,1024,10,10,0.5,20000,2000,1,0.001,0,20,20,,,,
67,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,1354,10,1364,,,,
68,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,1310,10,1320,,,,
69,2,2048,1024,10,10,0.5,794000,2000,1,0.001,794,0,794,,,,
70,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,0,20,20,,,,
71,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,722,0,722,,,,
72,2,2048,1024,10,10,0.5,1005000,2000,2,0.001,995,10,1005,,,,
73,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,467,10,477,,,,
74,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,853,10,863,,,,
75,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,361,10,371,,,,
76,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,1360,0,1360,,,,
77,2,2048,1024,10,10,0.5,426000,2000,2,0.001,426,0,426,,,,
78,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,1,0,0,20,20,,,,
79,2,2048,1024,10,10,0.5,9.22337E+18,9.22337E+18,2,0,273,0,273,,,,
