Iteration,numThreads,range,size,minTxOps,minNonTxOps,ReadOnlyFrac,throughputOps,throughputTxs,aborts,elapsedTime,numReadOps,numWriteOps,operations
0,128,2048,1024,10,10,0.5,3003032,4129,0,0.031,91814,1280,93094
1,128,2048,1024,10,10,0.5,5561428,9142,0,0.014,76580,1280,77860
2,128,2048,1024,10,10,0.5,4874058,7529,0,0.017,81579,1280,82859
3,128,2048,1024,10,10,0.5,6749583,10666,0,0.012,79715,1280,80995
4,128,2048,1024,10,10,0.5,7172454,11636,0,0.011,77617,1280,78897
5,128,2048,1024,10,10,0.5,8512700,12800,0,0.01,83847,1280,85127
6,128,2048,1024,10,10,0.5,7640909,11636,0,0.011,82770,1280,84050
7,128,2048,1024,10,10,0.5,7521909,11636,0,0.011,81461,1280,82741
8,128,2048,1024,10,10,0.5,7765900,12800,0,0.01,76379,1280,77659
9,128,2048,1024,10,10,0.5,7582000,11636,0,0.011,82122,1280,83402
10,128,2048,1024,10,10,0.5,9500777,14222,0,0.009,84227,1280,85507
11,128,2048,1024,10,10,0.5,9038200,12800,0,0.01,89102,1280,90382
12,128,2048,1024,10,10,0.5,8697777,14222,0,0.009,77000,1280,78280
13,128,2048,1024,10,10,0.5,9448444,14222,0,0.009,83756,1280,85036
14,128,2048,1024,10,10,0.5,4271850,6400,0,0.02,84157,1280,85437
15,128,2048,1024,10,10,0.5,7111181,11636,0,0.011,76943,1280,78223
16,128,2048,1024,10,10,0.5,8869400,12800,0,0.01,87414,1280,88694
17,128,2048,1024,10,10,0.5,10486000,16000,0,0.008,82608,1280,83888
18,128,2048,1024,10,10,0.5,9963222,14222,0,0.009,88389,1280,89669
19,128,2048,1024,10,10,0.5,8327700,12800,0,0.01,81997,1280,83277
20,128,2048,1024,10,10,0.5,8572500,12800,0,0.01,84445,1280,85725
21,128,2048,1024,10,10,0.5,9725777,14222,0,0.009,86252,1280,87532
22,128,2048,1024,10,10,0.5,9509888,14222,0,0.009,84309,1280,85589
23,128,2048,1024,10,10,0.5,7977900,12800,0,0.01,78499,1280,79779
24,128,2048,1024,10,10,0.5,9731222,14222,0,0.009,86301,1280,87581
25,128,2048,1024,10,10,0.5,11259375,16000,0,0.008,88795,1280,90075
26,128,2048,1024,10,10,0.5,10238625,16000,0,0.008,80629,1280,81909
27,128,2048,1024,10,10,0.5,3403375,5333,0,0.024,80401,1280,81681
28,128,2048,1024,10,10,0.5,8361545,11636,0,0.011,90697,1280,91977
29,128,2048,1024,10,10,0.5,8575000,14222,0,0.009,75895,1280,77175
30,128,2048,1024,10,10,0.5,1160394,1684,0,0.076,86910,1280,88190
31,128,2048,1024,10,10,0.5,9632222,14222,0,0.009,85410,1280,86690
32,128,2048,1024,10,10,0.5,11587571,18285,0,0.007,79833,1280,81113
33,128,2048,1024,10,10,0.5,8549444,14222,0,0.009,75665,1280,76945
34,128,2048,1024,10,10,0.5,9013222,14222,0,0.009,79839,1280,81119
35,128,2048,1024,10,10,0.5,11725571,18285,0,0.007,80799,1280,82079
36,128,2048,1024,10,10,0.5,3653500,5333,0,0.024,86404,1280,87684
37,128,2048,1024,10,10,0.5,7412833,10666,0,0.012,87674,1280,88954
38,128,2048,1024,10,10,0.5,8456200,12800,0,0.01,83282,1280,84562
39,128,2048,1024,10,10,0.5,7225500,10666,0,0.012,85426,1280,86706
40,128,2048,1024,10,10,0.5,8339500,12800,0,0.01,82115,1280,83395
41,128,2048,1024,10,10,0.5,10367375,16000,0,0.008,81659,1280,82939
42,128,2048,1024,10,10,0.5,8500100,12800,0,0.01,83721,1280,85001
43,128,2048,1024,10,10,0.5,10815125,16000,0,0.008,85241,1280,86521
44,128,2048,1024,10,10,0.5,9772777,14222,0,0.009,86675,1280,87955
45,128,2048,1024,10,10,0.5,9860750,16000,0,0.008,77606,1280,78886
46,128,2048,1024,10,10,0.5,2898633,4266,0,0.03,85679,1280,86959
47,128,2048,1024,10,10,0.5,3106307,4923,0,0.026,79484,1280,80764
48,128,2048,1024,10,10,0.5,6941916,10666,0,0.012,82023,1280,83303
49,128,2048,1024,10,10,0.5,2855724,4413,0,0.029,81536,1280,82816
50,128,2048,1024,10,10,0.5,5943692,9846,0,0.013,75988,1280,77268
51,128,2048,1024,10,10,0.5,10087000,14222,0,0.009,89503,1280,90783
52,128,2048,1024,10,10,0.5,10402000,16000,0,0.008,81936,1280,83216
53,128,2048,1024,10,10,0.5,686072,1163,0,0.11,74188,1280,75468
54,128,2048,1024,10,10,0.5,10692750,16000,0,0.008,84262,1280,85542
55,128,2048,1024,10,10,0.5,9818555,14222,0,0.009,87087,1280,88367
56,128,2048,1024,10,10,0.5,9032000,14222,0,0.009,80008,1280,81288
57,128,2048,1024,10,10,0.5,10196000,16000,0,0.008,80288,1280,81568
58,128,2048,1024,10,10,0.5,4198450,6400,0,0.02,82689,1280,83969
59,128,2048,1024,10,10,0.5,7345545,11636,0,0.011,79521,1280,80801
60,128,2048,1024,10,10,0.5,9480333,14222,0,0.009,84043,1280,85323
61,128,2048,1024,10,10,0.5,9676666,14222,0,0.009,85810,1280,87090
62,128,2048,1024,10,10,0.5,4067600,6400,0,0.02,80072,1280,81352
63,128,2048,1024,10,10,0.5,7101583,10666,0,0.012,83939,1280,85219
64,128,2048,1024,10,10,0.5,4086045,5818,0,0.022,88613,1280,89893
65,128,2048,1024,10,10,0.5,7010727,11636,0,0.011,75838,1280,77118
66,128,2048,1024,10,10,0.5,4005947,6736,0,0.019,74833,1280,76113
67,128,2048,1024,10,10,0.5,7538909,11636,0,0.011,81648,1280,82928
68,128,2048,1024,10,10,0.5,3791809,6095,0,0.021,78348,1280,79628
69,128,2048,1024,10,10,0.5,7011583,10666,0,0.012,82859,1280,84139
70,128,2048,1024,10,10,0.5,3937619,6095,0,0.021,81410,1280,82690
71,128,2048,1024,10,10,0.5,5965928,9142,0,0.014,82243,1280,83523
72,128,2048,1024,10,10,0.5,8910555,14222,0,0.009,78915,1280,80195
73,128,2048,1024,10,10,0.5,4376736,6736,0,0.019,81878,1280,83158
74,128,2048,1024,10,10,0.5,7007833,10666,0,0.012,82814,1280,84094
75,128,2048,1024,10,10,0.5,8376222,14222,0,0.009,74106,1280,75386
76,128,2048,1024,10,10,0.5,12388571,18285,0,0.007,85440,1280,86720
77,128,2048,1024,10,10,0.5,8171777,14222,0,0.009,72266,1280,73546
78,128,2048,1024,10,10,0.5,8487333,14222,0,0.009,75106,1280,76386
79,128,2048,1024,10,10,0.5,8905777,14222,0,0.009,78872,1280,80152
80,128,2048,1024,10,10,0.5,9159777,14222,0,0.009,81158,1280,82438
81,128,2048,1024,10,10,0.5,10275875,16000,0,0.008,80927,1280,82207
82,128,2048,1024,10,10,0.5,10190750,16000,0,0.008,80246,1280,81526
83,128,2048,1024,10,10,0.5,8875666,14222,0,0.009,78601,1280,79881
84,128,2048,1024,10,10,0.5,10616250,16000,0,0.008,83650,1280,84930
85,128,2048,1024,10,10,0.5,3537291,5333,0,0.024,83615,1280,84895
86,128,2048,1024,10,10,0.5,6312615,9846,0,0.013,80784,1280,82064
87,128,2048,1024,10,10,0.5,9170800,12800,0,0.01,90428,1280,91708
88,128,2048,1024,10,10,0.5,9399444,14222,0,0.009,83315,1280,84595
89,128,2048,1024,10,10,0.5,8969555,14222,0,0.009,79446,1280,80726
90,128,2048,1024,10,10,0.5,11049125,16000,0,0.008,87113,1280,88393
91,128,2048,1024,10,10,0.5,8352000,12800,0,0.01,82240,1280,83520
92,128,2048,1024,10,10,0.5,8555555,14222,0,0.009,75720,1280,77000
93,128,2048,1024,10,10,0.5,9420500,16000,0,0.008,74084,1280,75364
94,128,2048,1024,10,10,0.5,10555500,16000,0,0.008,83164,1280,84444
95,128,2048,1024,10,10,0.5,10160000,16000,0,0.008,80000,1280,81280
96,128,2048,1024,10,10,0.5,10991500,16000,0,0.008,86652,1280,87932
97,128,2048,1024,10,10,0.5,9109888,14222,0,0.009,80709,1280,81989
98,128,2048,1024,10,10,0.5,9670625,16000,0,0.008,76085,1280,77365
99,128,2048,1024,10,10,0.5,11126125,16000,0,0.008,87729,1280,89009
