Iteration,numThreads,range,size,minTxOps,minNonTxOps,ReadOnlyFrac,throughputOps,throughputTxs,aborts,elapsedTime,numReadOps,numWriteOps,operations
0,16,200,100,10,10,0.5,53529,941,104,0.017,579,331,910
1,16,200,100,10,10,0.5,228250,4000,12,0.004,813,100,913
2,16,200,100,10,10,0.5,253250,4000,18,0.004,841,172,1013
3,16,200,100,10,10,0.5,770500,8000,26,0.002,1413,128,1541
4,16,200,100,10,10,0.5,341666,5333,34,0.003,723,302,1025
5,16,200,100,10,10,0.5,472000,8000,48,0.002,804,140,944
6,16,200,100,10,10,0.5,259000,5333,17,0.003,597,180,777
7,16,200,100,10,10,0.5,487000,8000,15,0.002,864,110,974
8,16,200,100,10,10,0.5,539000,8000,15,0.002,986,92,1078
9,16,200,100,10,10,0.5,389500,8000,18,0.002,583,196,779
10,16,200,100,10,10,0.5,1311000,16000,17,0.001,1231,80,1311
11,16,200,100,10,10,0.5,329500,4000,21,0.004,1158,160,1318
12,16,200,100,10,10,0.5,235500,4000,13,0.004,810,132,942
13,16,200,100,10,10,0.5,598500,8000,22,0.002,1033,164,1197
14,16,200,100,10,10,0.5,328500,8000,10,0.002,513,144,657
15,16,200,100,10,10,0.5,886000,16000,21,0.001,658,228,886
16,16,200,100,10,10,0.5,441000,8000,15,0.002,750,132,882
17,16,200,100,10,10,0.5,225000,5333,2,0.003,585,90,675
18,16,200,100,10,10,0.5,572000,8000,16,0.002,1058,86,1144
19,16,200,100,10,10,0.5,783500,8000,21,0.002,1443,124,1567
20,16,200,100,10,10,0.5,1528000,16000,17,0.001,1428,100,1528
21,16,200,100,10,10,0.5,540000,8000,19,0.002,960,120,1080
22,16,200,100,10,10,0.5,472500,8000,15,0.002,825,120,945
23,16,200,100,10,10,0.5,215333,5333,13,0.003,488,158,646
24,16,200,100,10,10,0.5,722000,16000,10,0.001,575,147,722
25,16,200,100,10,10,0.5,372000,8000,2,0.002,674,70,744
26,16,200,100,10,10,0.5,783000,8000,28,0.002,1356,210,1566
27,16,200,100,10,10,0.5,695500,8000,23,0.002,1211,180,1391
28,16,200,100,10,10,0.5,557000,16000,11,0.001,408,149,557
29,16,200,100,10,10,0.5,225500,8000,6,0.002,320,131,451
30,16,200,100,10,10,0.5,185500,4000,9,0.004,622,120,742
31,16,200,100,10,10,0.5,391500,8000,12,0.002,600,183,783
32,16,200,100,10,10,0.5,802000,16000,9,0.001,709,93,802
33,16,200,100,10,10,0.5,394000,8000,10,0.002,678,110,788
34,16,200,100,10,10,0.5,190666,5333,13,0.003,408,164,572
35,16,200,100,10,10,0.5,484500,8000,24,0.002,769,200,969
36,16,200,100,10,10,0.5,333500,8000,15,0.002,507,160,667
37,16,200,100,10,10,0.5,403000,8000,7,0.002,706,100,806
38,16,200,100,10,10,0.5,266000,8000,1,0.002,452,80,532
39,16,200,100,10,10,0.5,188250,4000,7,0.004,646,107,753
40,16,200,100,10,10,0.5,141666,5333,9,0.003,285,140,425
41,16,200,100,10,10,0.5,395500,8000,9,0.002,701,90,791
42,16,200,100,10,10,0.5,1103000,16000,12,0.001,1033,70,1103
43,16,200,100,10,10,0.5,458000,8000,12,0.002,822,94,916
44,16,200,100,10,10,0.5,129666,5333,5,0.003,247,142,389
45,16,200,100,10,10,0.5,270333,5333,10,0.003,668,143,811
46,16,200,100,10,10,0.5,419500,8000,7,0.002,769,70,839
47,16,200,100,10,10,0.5,311500,8000,10,0.002,465,158,623
48,16,200,100,10,10,0.5,1517000,16000,21,0.001,1407,110,1517
49,16,200,100,10,10,0.5,368000,8000,18,0.002,516,220,736
50,16,200,100,10,10,0.5,444000,8000,13,0.002,741,147,888
51,16,200,100,10,10,0.5,296666,5333,10,0.003,767,123,890
52,16,200,100,10,10,0.5,473500,8000,17,0.002,787,160,947
53,16,200,100,10,10,0.5,846000,16000,27,0.001,620,226,846
54,16,200,100,10,10,0.5,494500,8000,87,0.002,607,382,989
55,16,200,100,10,10,0.5,356000,8000,16,0.002,573,139,712
56,16,200,100,10,10,0.5,981000,16000,11,0.001,891,90,981
57,16,200,100,10,10,0.5,430500,8000,11,0.002,761,100,861
58,16,200,100,10,10,0.5,1544000,16000,21,0.001,1404,140,1544
59,16,200,100,10,10,0.5,616500,8000,22,0.002,1033,200,1233
60,16,200,100,10,10,0.5,1062000,16000,16,0.001,942,120,1062
61,16,200,100,10,10,0.5,597500,8000,18,0.002,1045,150,1195
62,16,200,100,10,10,0.5,523500,8000,23,0.002,857,190,1047
63,16,200,100,10,10,0.5,578000,8000,24,0.002,956,200,1156
64,16,200,100,10,10,0.5,1105000,16000,22,0.001,935,170,1105
65,16,200,100,10,10,0.5,807000,16000,24,0.001,527,280,807
66,16,200,100,10,10,0.5,447500,8000,24,0.002,665,230,895
67,16,200,100,10,10,0.5,9223372036854775807,9223372036854775807,19,0.0,1125,134,1259
68,16,200,100,10,10,0.5,1031000,16000,12,0.001,899,132,1031
69,16,200,100,10,10,0.5,914000,16000,17,0.001,744,170,914
70,16,200,100,10,10,0.5,315000,16000,8,0.001,168,147,315
71,16,200,100,10,10,0.5,1413000,16000,17,0.001,1283,130,1413
72,16,200,100,10,10,0.5,318500,8000,21,0.002,394,243,637
73,16,200,100,10,10,0.5,280666,5333,9,0.003,732,110,842
74,16,200,100,10,10,0.5,762500,8000,17,0.002,1445,80,1525
75,16,200,100,10,10,0.5,1108000,16000,16,0.001,978,130,1108
76,16,200,100,10,10,0.5,1225000,16000,15,0.001,1075,150,1225
77,16,200,100,10,10,0.5,709000,16000,17,0.001,518,191,709
78,16,200,100,10,10,0.5,1025000,16000,24,0.001,854,171,1025
79,16,200,100,10,10,0.5,427500,8000,10,0.002,753,102,855
80,16,200,100,10,10,0.5,935000,16000,20,0.001,735,200,935
81,16,200,100,10,10,0.5,1386000,16000,21,0.001,1226,160,1386
82,16,200,100,10,10,0.5,1150000,16000,10,0.001,1080,70,1150
83,16,200,100,10,10,0.5,828000,16000,12,0.001,754,74,828
84,16,200,100,10,10,0.5,609000,8000,22,0.002,1028,190,1218
85,16,200,100,10,10,0.5,303750,4000,12,0.004,1125,90,1215
86,16,200,100,10,10,0.5,1047000,16000,14,0.001,917,130,1047
87,16,200,100,10,10,0.5,210333,2666,20,0.006,1121,141,1262
88,16,200,100,10,10,0.5,145333,5333,7,0.003,264,172,436
89,16,200,100,10,10,0.5,375500,8000,5,0.002,681,70,751
90,16,200,100,10,10,0.5,207000,2666,11,0.006,1162,80,1242
91,16,200,100,10,10,0.5,177250,4000,8,0.004,595,114,709
92,16,200,100,10,10,0.5,369500,8000,19,0.002,527,212,739
93,16,200,100,10,10,0.5,293000,5333,18,0.003,728,151,879
94,16,200,100,10,10,0.5,215800,3200,7,0.005,1019,60,1079
95,16,200,100,10,10,0.5,462000,8000,7,0.002,845,79,924
96,16,200,100,10,10,0.5,548500,8000,15,0.002,967,130,1097
97,16,200,100,10,10,0.5,903500,8000,24,0.002,1686,121,1807
98,16,200,100,10,10,0.5,888000,16000,8,0.001,778,110,888
99,16,200,100,10,10,0.5,594000,8000,20,0.002,1098,90,1188
0,16,200,100,10,10,0.5,64000,1454,78,0.011,423,281,704
1,16,200,100,10,10,0.5,185000,5333,32,0.003,290,265,555
2,16,200,100,10,10,0.5,238500,4000,22,0.004,798,156,954
3,16,200,100,10,10,0.5,523500,8000,21,0.002,908,139,1047
4,16,200,100,10,10,0.5,396333,5333,23,0.003,1035,154,1189
5,16,200,100,10,10,0.5,631000,8000,19,0.002,1142,120,1262
6,16,200,100,10,10,0.5,413333,5333,47,0.003,992,248,1240
7,16,200,100,10,10,0.5,980000,16000,17,0.001,842,138,980
8,16,200,100,10,10,0.5,555500,8000,18,0.002,994,117,1111
9,16,200,100,10,10,0.5,649500,8000,27,0.002,1067,232,1299
10,16,200,100,10,10,0.5,601500,8000,23,0.002,945,258,1203
11,16,200,100,10,10,0.5,1334000,16000,22,0.001,1179,155,1334
12,16,200,100,10,10,0.5,451500,8000,20,0.002,705,198,903
13,16,200,100,10,10,0.5,694000,8000,29,0.002,1223,165,1388
14,16,200,100,10,10,0.5,415000,8000,15,0.002,686,144,830
15,16,200,100,10,10,0.5,406000,8000,17,0.002,605,207,812
16,16,200,100,10,10,0.5,544500,8000,20,0.002,939,150,1089
17,16,200,100,10,10,0.5,1133000,16000,12,0.001,1023,110,1133
18,16,200,100,10,10,0.5,675000,8000,167,0.002,1249,101,1350
19,16,200,100,10,10,0.5,186600,3200,13,0.005,853,80,933
20,16,200,100,10,10,0.5,787000,16000,12,0.001,675,112,787
21,16,200,100,10,10,0.5,284333,5333,16,0.003,640,213,853
22,16,200,100,10,10,0.5,372500,8000,4,0.002,715,30,745
23,16,200,100,10,10,0.5,1118000,16000,7,0.001,1088,30,1118
24,16,200,100,10,10,0.5,1031000,16000,18,0.001,867,164,1031
25,16,200,100,10,10,0.5,464000,8000,6,0.002,858,70,928
26,16,200,100,10,10,0.5,387000,8000,10,0.002,644,130,774
27,16,200,100,10,10,0.5,1073000,16000,13,0.001,969,104,1073
28,16,200,100,10,10,0.5,341000,8000,10,0.002,559,123,682
29,16,200,100,10,10,0.5,412000,8000,11,0.002,688,136,824
30,16,200,100,10,10,0.5,319500,8000,13,0.002,489,150,639
31,16,200,100,10,10,0.5,395500,8000,35,0.002,643,148,791
32,16,200,100,10,10,0.5,346000,8000,5,0.002,592,100,692
33,16,200,100,10,10,0.5,924000,16000,16,0.001,776,148,924
34,16,200,100,10,10,0.5,603000,8000,10,0.002,1136,70,1206
35,16,200,100,10,10,0.5,1180000,16000,16,0.001,1070,110,1180
36,16,200,100,10,10,0.5,548000,8000,12,0.002,1026,70,1096
37,16,200,100,10,10,0.5,263500,8000,13,0.002,358,169,527
38,16,200,100,10,10,0.5,269500,8000,5,0.002,459,80,539
39,16,200,100,10,10,0.5,532500,8000,13,0.002,1005,60,1065
40,16,200,100,10,10,0.5,472000,8000,10,0.002,844,100,944
41,16,200,100,10,10,0.5,226000,5333,6,0.003,612,66,678
42,16,200,100,10,10,0.5,524500,8000,14,0.002,919,130,1049
43,16,200,100,10,10,0.5,331500,8000,14,0.002,486,177,663
44,16,200,100,10,10,0.5,1045000,16000,25,0.001,815,230,1045
45,16,200,100,10,10,0.5,728000,16000,8,0.001,625,103,728
46,16,200,100,10,10,0.5,636000,16000,9,0.001,503,133,636
47,16,200,100,10,10,0.5,739000,8000,14,0.002,1428,50,1478
48,16,200,100,10,10,0.5,322500,8000,5,0.002,545,100,645
49,16,200,100,10,10,0.5,1495000,16000,16,0.001,1385,110,1495
50,16,200,100,10,10,0.5,1390000,16000,24,0.001,1220,170,1390
51,16,200,100,10,10,0.5,566500,8000,19,0.002,1013,120,1133
52,16,200,100,10,10,0.5,486500,8000,10,0.002,903,70,973
53,16,200,100,10,10,0.5,646000,16000,7,0.001,526,120,646
54,16,200,100,10,10,0.5,1184000,16000,64,0.001,998,186,1184
55,16,200,100,10,10,0.5,862000,16000,32,0.001,690,172,862
56,16,200,100,10,10,0.5,1193000,16000,22,0.001,1007,186,1193
57,16,200,100,10,10,0.5,249000,8000,5,0.002,388,110,498
58,16,200,100,10,10,0.5,647000,16000,9,0.001,496,151,647
59,16,200,100,10,10,0.5,451500,8000,14,0.002,811,92,903
60,16,200,100,10,10,0.5,723000,16000,9,0.001,613,110,723
61,16,200,100,10,10,0.5,297333,5333,14,0.003,712,180,892
62,16,200,100,10,10,0.5,1047000,16000,17,0.001,857,190,1047
63,16,200,100,10,10,0.5,789500,8000,30,0.002,1379,200,1579
64,16,200,100,10,10,0.5,1204000,16000,19,0.001,1064,140,1204
65,16,200,100,10,10,0.5,335500,8000,12,0.002,511,160,671
66,16,200,100,10,10,0.5,1150000,16000,18,0.001,984,166,1150
67,16,200,100,10,10,0.5,811000,16000,13,0.001,691,120,811
68,16,200,100,10,10,0.5,373000,8000,25,0.002,456,290,746
69,16,200,100,10,10,0.5,574500,8000,17,0.002,1019,130,1149
70,16,200,100,10,10,0.5,623500,8000,22,0.002,1009,238,1247
71,16,200,100,10,10,0.5,1085000,16000,16,0.001,981,104,1085
72,16,200,100,10,10,0.5,730000,16000,8,0.001,620,110,730
73,16,200,100,10,10,0.5,922000,16000,31,0.001,640,282,922
74,16,200,100,10,10,0.5,906000,16000,25,0.001,631,275,906
75,16,200,100,10,10,0.5,799000,8000,25,0.002,1460,138,1598
76,16,200,100,10,10,0.5,1216000,16000,20,0.001,1040,176,1216
77,16,200,100,10,10,0.5,533000,8000,21,0.002,846,220,1066
78,16,200,100,10,10,0.5,1008500,8000,339,0.002,1364,653,2017
79,16,200,100,10,10,0.5,587000,8000,10,0.002,1104,70,1174
80,16,200,100,10,10,0.5,322000,8000,14,0.002,450,194,644
81,16,200,100,10,10,0.5,690000,16000,6,0.001,570,120,690
82,16,200,100,10,10,0.5,246333,5333,8,0.003,659,80,739
83,16,200,100,10,10,0.5,433500,8000,20,0.002,683,184,867
84,16,200,100,10,10,0.5,1543000,16000,21,0.001,1439,104,1543
85,16,200,100,10,10,0.5,716000,16000,10,0.001,582,134,716
86,16,200,100,10,10,0.5,1295000,16000,16,0.001,1209,86,1295
87,16,200,100,10,10,0.5,936000,16000,21,0.001,771,165,936
88,16,200,100,10,10,0.5,1243000,16000,14,0.001,1108,135,1243
89,16,200,100,10,10,0.5,602500,8000,17,0.002,1096,109,1205
90,16,200,100,10,10,0.5,696000,16000,10,0.001,576,120,696
91,16,200,100,10,10,0.5,311000,8000,7,0.002,502,120,622
92,16,200,100,10,10,0.5,1433000,16000,16,0.001,1333,100,1433
93,16,200,100,10,10,0.5,1519000,16000,303,0.001,835,684,1519
94,16,200,100,10,10,0.5,606500,8000,22,0.002,1055,158,1213
95,16,200,100,10,10,0.5,483000,16000,7,0.001,363,120,483
96,16,200,100,10,10,0.5,1083000,16000,16,0.001,945,138,1083
97,16,200,100,10,10,0.5,774000,16000,5,0.001,734,40,774
98,16,200,100,10,10,0.5,586000,16000,13,0.001,413,173,586
99,16,200,100,10,10,0.5,592500,8000,17,0.002,1035,150,1185
0,16,200,100,10,10,0.5,41437,1000,29,0.016,517,146,663
1,16,200,100,10,10,0.5,412333,5333,35,0.003,1016,221,1237
2,16,200,100,10,10,0.5,275250,4000,53,0.004,889,212,1101
3,16,200,100,10,10,0.5,381333,5333,15,0.003,1077,67,1144
4,16,200,100,10,10,0.5,468500,8000,22,0.002,775,162,937
5,16,200,100,10,10,0.5,543500,8000,25,0.002,896,191,1087
6,16,200,100,10,10,0.5,255750,4000,39,0.004,845,178,1023
7,16,200,100,10,10,0.5,402500,8000,14,0.002,695,110,805
8,16,200,100,10,10,0.5,287500,8000,22,0.002,350,225,575
9,16,200,100,10,10,0.5,1054000,16000,6,0.001,1004,50,1054
10,16,200,100,10,10,0.5,559000,16000,14,0.001,449,110,559
11,16,200,100,10,10,0.5,1141000,16000,25,0.001,969,172,1141
12,16,200,100,10,10,0.5,113400,3200,19,0.005,355,212,567
13,16,200,100,10,10,0.5,399000,8000,6,0.002,738,60,798
14,16,200,100,10,10,0.5,556500,8000,23,0.002,961,152,1113
15,16,200,100,10,10,0.5,319000,8000,7,0.002,564,74,638
16,16,200,100,10,10,0.5,331000,8000,20,0.002,424,238,662
17,16,200,100,10,10,0.5,275333,5333,17,0.003,675,151,826
18,16,200,100,10,10,0.5,574500,8000,20,0.002,1026,123,1149
19,16,200,100,10,10,0.5,758500,8000,16,0.002,1477,40,1517
20,16,200,100,10,10,0.5,605000,8000,12,0.002,1137,73,1210
21,16,200,100,10,10,0.5,417000,8000,13,0.002,721,113,834
22,16,200,100,10,10,0.5,695000,16000,9,0.001,568,127,695
23,16,200,100,10,10,0.5,416000,8000,11,0.002,689,143,832
24,16,200,100,10,10,0.5,789000,16000,13,0.001,674,115,789
25,16,200,100,10,10,0.5,484500,8000,15,0.002,813,156,969
26,16,200,100,10,10,0.5,1072000,16000,16,0.001,949,123,1072
27,16,200,100,10,10,0.5,823000,16000,18,0.001,633,190,823
28,16,200,100,10,10,0.5,760000,16000,20,0.001,546,214,760
29,16,200,100,10,10,0.5,831500,8000,19,0.002,1603,60,1663
30,16,200,100,10,10,0.5,1082000,16000,11,0.001,976,106,1082
31,16,200,100,10,10,0.5,418500,8000,15,0.002,685,152,837
32,16,200,100,10,10,0.5,353500,8000,8,0.002,606,101,707
33,16,200,100,10,10,0.5,467000,8000,12,0.002,832,102,934
34,16,200,100,10,10,0.5,336500,8000,8,0.002,543,130,673
